scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],5,"lr3e-05,wd0.0",5,"lr=1e-04, wd=0.0",-1.4419,3
[8],5,"lr3e-05,wd0.0",8,"lr=3e-04, wd=0.01",-1.4409,4
[8],5,"lr3e-05,wd0.0",10,"lr=0.001, wd=0.01",-1.4273,5
[8],5,"lr3e-05,wd0.0",11,"lr=0.003, wd=0.0",-1.4224,6
[8],5,"lr3e-05,wd0.0",6,"lr=1e-04, wd=0.01",-1.4023,7
[8],5,"lr3e-05,wd0.0",12,"lr=0.003, wd=0.01",-1.3877,8
[8],5,"lr3e-05,wd0.0",3,"lr=3e-05, wd=0.0",-1.3779,9
[8],5,"lr3e-05,wd0.0",4,"lr=3e-05, wd=0.01",-1.3554,10
[8],5,"lr3e-05,wd0.0",1,"lr=1e-05, wd=0.0",-1.2662,11
[8],5,"lr3e-05,wd0.0",2,"lr=1e-05, wd=0.01",-1.2589,12
[8],5,"lr3e-05,wd0.01",9,"lr=0.001, wd=0.0",-1.8129,1
[8],5,"lr3e-05,wd0.01",7,"lr=3e-04, wd=0.0",-1.7489,2
[8],5,"lr3e-05,wd0.01",8,"lr=3e-04, wd=0.01",-1.6142,3
[8],5,"lr3e-05,wd0.01",5,"lr=1e-04, wd=0.0",-1.5887,4
[8],5,"lr3e-05,wd0.01",11,"lr=0.003, wd=0.0",-1.5803,5
[8],5,"lr3e-05,wd0.01",6,"lr=1e-04, wd=0.01",-1.5598,6
[8],5,"lr3e-05,wd0.01",10,"lr=0.001, wd=0.01",-1.5318,7
[8],5,"lr3e-05,wd0.01",3,"lr=3e-05, wd=0.0",-1.4952,8
[8],5,"lr3e-05,wd0.01",12,"lr=0.003, wd=0.01",-1.486,9
[8],5,"lr3e-05,wd0.01",4,"lr=3e-05, wd=0.01",-1.481,10
[8],5,"lr3e-05,wd0.01",1,"lr=1e-05, wd=0.0",-1.3706,11
[8],5,"lr3e-05,wd0.01",2,"lr=1e-05, wd=0.01",-1.3625,12
[8],5,"lr0.0001,wd0.0",9,"lr=0.001, wd=0.0",-1.7129,1
[8],5,"lr0.0001,wd0.0",11,"lr=0.003, wd=0.0",-1.7065,2
[8],5,"lr0.0001,wd0.0",7,"lr=3e-04, wd=0.0",-1.5418,3
[8],5,"lr0.0001,wd0.0",10,"lr=0.001, wd=0.01",-1.528,4
[8],5,"lr0.0001,wd0.0",12,"lr=0.003, wd=0.01",-1.5258,5
[8],5,"lr0.0001,wd0.0",8,"lr=3e-04, wd=0.01",-1.4105,6
[8],5,"lr0.0001,wd0.0",5,"lr=1e-04, wd=0.0",-1.2999,7
[8],5,"lr0.0001,wd0.0",6,"lr=1e-04, wd=0.01",-1.2855,8
[8],5,"lr0.0001,wd0.0",3,"lr=3e-05, wd=0.0",-1.243,9
[8],5,"lr0.0001,wd0.0",4,"lr=3e-05, wd=0.01",-1.232,10
[8],5,"lr0.0001,wd0.0",2,"lr=1e-05, wd=0.01",-1.175,11
[8],5,"lr0.0001,wd0.0",1,"lr=1e-05, wd=0.0",-1.1716,12
[8],5,"lr0.0001,wd0.01",11,"lr=0.003, wd=0.0",-1.8162,1
[8],5,"lr0.0001,wd0.01",9,"lr=0.001, wd=0.0",-1.8056,2
[8],5,"lr0.0001,wd0.01",12,"lr=0.003, wd=0.01",-1.7237,3
[8],5,"lr0.0001,wd0.01",7,"lr=3e-04, wd=0.0",-1.7187,4
[8],5,"lr0.0001,wd0.01",10,"lr=0.001, wd=0.01",-1.6922,5
[8],5,"lr0.0001,wd0.01",8,"lr=3e-04, wd=0.01",-1.5697,6
[8],5,"lr0.0001,wd0.01",5,"lr=1e-04, wd=0.0",-1.4143,7
[8],5,"lr0.0001,wd0.01",6,"lr=1e-04, wd=0.01",-1.4044,8
[8],5,"lr0.0001,wd0.01",3,"lr=3e-05, wd=0.0",-1.3621,9
[8],5,"lr0.0001,wd0.01",4,"lr=3e-05, wd=0.01",-1.3568,10
[8],5,"lr0.0001,wd0.01",2,"lr=1e-05, wd=0.01",-1.3167,11
[8],5,"lr0.0001,wd0.01",1,"lr=1e-05, wd=0.0",-1.3155,12
[8],5,"lr0.0003,wd0.0",11,"lr=0.003, wd=0.0",-1.5592,1
[8],5,"lr0.0003,wd0.0",9,"lr=0.001, wd=0.0",-1.4659,2
[8],5,"lr0.0003,wd0.0",12,"lr=0.003, wd=0.01",-1.3277,3
[8],5,"lr0.0003,wd0.0",10,"lr=0.001, wd=0.01",-1.3267,4
[8],5,"lr0.0003,wd0.0",7,"lr=3e-04, wd=0.0",-1.3114,5
[8],5,"lr0.0003,wd0.0",8,"lr=3e-04, wd=0.01",-1.2247,6
[8],5,"lr0.0003,wd0.0",5,"lr=1e-04, wd=0.0",-1.1138,7
[8],5,"lr0.0003,wd0.0",6,"lr=1e-04, wd=0.01",-1.1109,8
[8],5,"lr0.0003,wd0.0",3,"lr=3e-05, wd=0.0",-1.0692,9
[8],5,"lr0.0003,wd0.0",4,"lr=3e-05, wd=0.01",-1.061,10
[8],5,"lr0.0003,wd0.0",2,"lr=1e-05, wd=0.01",-1.0257,11
[8],5,"lr0.0003,wd0.0",1,"lr=1e-05, wd=0.0",-1.0189,12
[8],5,"lr0.0003,wd0.01",11,"lr=0.003, wd=0.0",-1.8175,1
[8],5,"lr0.0003,wd0.01",9,"lr=0.001, wd=0.0",-1.7105,2
[8],5,"lr0.0003,wd0.01",12,"lr=0.003, wd=0.01",-1.6855,3
[8],5,"lr0.0003,wd0.01",10,"lr=0.001, wd=0.01",-1.5356,4
[8],5,"lr0.0003,wd0.01",7,"lr=3e-04, wd=0.0",-1.4658,5
[8],5,"lr0.0003,wd0.01",8,"lr=3e-04, wd=0.01",-1.3602,6
[8],5,"lr0.0003,wd0.01",2,"lr=1e-05, wd=0.01",-1.258,7
[8],5,"lr0.0003,wd0.01",5,"lr=1e-04, wd=0.0",-1.2566,8
[8],5,"lr0.0003,wd0.01",6,"lr=1e-04, wd=0.01",-1.2539,9
[8],5,"lr0.0003,wd0.01",4,"lr=3e-05, wd=0.01",-1.2537,10
[8],5,"lr0.0003,wd0.01",3,"lr=3e-05, wd=0.0",-1.2523,11
[8],5,"lr0.0003,wd0.01",1,"lr=1e-05, wd=0.0",-1.2484,12
[8],5,"lr0.001,wd0.0",11,"lr=0.003, wd=0.0",-1.3753,1
[8],5,"lr0.001,wd0.0",9,"lr=0.001, wd=0.0",-1.2595,2
[8],5,"lr0.001,wd0.0",12,"lr=0.003, wd=0.01",-1.192,3
[8],5,"lr0.001,wd0.0",10,"lr=0.001, wd=0.01",-1.1732,4
[8],5,"lr0.001,wd0.0",7,"lr=3e-04, wd=0.0",-1.1347,5
[8],5,"lr0.001,wd0.0",8,"lr=3e-04, wd=0.01",-1.0753,6
[8],5,"lr0.001,wd0.0",6,"lr=1e-04, wd=0.01",-0.9708,7
[8],5,"lr0.001,wd0.0",5,"lr=1e-04, wd=0.0",-0.9662,8
[8],5,"lr0.001,wd0.0",2,"lr=1e-05, wd=0.01",-0.9417,9
[8],5,"lr0.001,wd0.0",4,"lr=3e-05, wd=0.01",-0.9371,10
[8],5,"lr0.001,wd0.0",3,"lr=3e-05, wd=0.0",-0.9359,11
[8],5,"lr0.001,wd0.0",1,"lr=1e-05, wd=0.0",-0.9309,12
[8],5,"lr0.001,wd0.01",11,"lr=0.003, wd=0.0",-1.3249,1
[8],5,"lr0.001,wd0.01",9,"lr=0.001, wd=0.0",-1.2081,2
[8],5,"lr0.001,wd0.01",12,"lr=0.003, wd=0.01",-1.1987,3
[8],5,"lr0.001,wd0.01",10,"lr=0.001, wd=0.01",-1.1313,4
[8],5,"lr0.001,wd0.01",7,"lr=3e-04, wd=0.0",-1.0899,5
[8],5,"lr0.001,wd0.01",8,"lr=3e-04, wd=0.01",-1.0426,6
[8],5,"lr0.001,wd0.01",4,"lr=3e-05, wd=0.01",-0.9864,7
[8],5,"lr0.001,wd0.01",5,"lr=1e-04, wd=0.0",-0.9771,8
[8],5,"lr0.001,wd0.01",3,"lr=3e-05, wd=0.0",-0.9766,9
[8],5,"lr0.001,wd0.01",6,"lr=1e-04, wd=0.01",-0.9752,10
[8],5,"lr0.001,wd0.01",2,"lr=1e-05, wd=0.01",-0.9652,11
[8],5,"lr0.001,wd0.01",1,"lr=1e-05, wd=0.0",-0.9633,12
[8],5,"lr0.003,wd0.0",11,"lr=0.003, wd=0.0",-1.2167,1
[8],5,"lr0.003,wd0.0",9,"lr=0.001, wd=0.0",-1.0953,2
[8],5,"lr0.003,wd0.0",12,"lr=0.003, wd=0.01",-1.0694,3
[8],5,"lr0.003,wd0.0",10,"lr=0.001, wd=0.01",-1.0256,4
[8],5,"lr0.003,wd0.0",7,"lr=3e-04, wd=0.0",-0.996,5
[8],5,"lr0.003,wd0.0",8,"lr=3e-04, wd=0.01",-0.946,6
[8],5,"lr0.003,wd0.0",5,"lr=1e-04, wd=0.0",-0.8681,7
[8],5,"lr0.003,wd0.0",6,"lr=1e-04, wd=0.01",-0.8657,8
[8],5,"lr0.003,wd0.0",3,"lr=3e-05, wd=0.0",-0.8302,9
[8],5,"lr0.003,wd0.0",4,"lr=3e-05, wd=0.01",-0.8254,10
[8],5,"lr0.003,wd0.0",2,"lr=1e-05, wd=0.01",-0.7908,11
[8],5,"lr0.003,wd0.0",1,"lr=1e-05, wd=0.0",-0.7899,12
[8],5,"lr0.003,wd0.01",11,"lr=0.003, wd=0.0",-1.6526,1
[8],5,"lr0.003,wd0.01",12,"lr=0.003, wd=0.01",-1.638,2
[8],5,"lr0.003,wd0.01",9,"lr=0.001, wd=0.0",-1.6292,3
[8],5,"lr0.003,wd0.01",2,"lr=1e-05, wd=0.01",-1.5608,4
[8],5,"lr0.003,wd0.01",1,"lr=1e-05, wd=0.0",-1.5411,5
[8],5,"lr0.003,wd0.01",8,"lr=3e-04, wd=0.01",-1.5157,6
[8],5,"lr0.003,wd0.01",10,"lr=0.001, wd=0.01",-1.5058,7
[8],5,"lr0.003,wd0.01",7,"lr=3e-04, wd=0.0",-1.4797,8
[8],5,"lr0.003,wd0.01",4,"lr=3e-05, wd=0.01",-1.3743,9
[8],5,"lr0.003,wd0.01",3,"lr=3e-05, wd=0.0",-1.3302,10
[8],5,"lr0.003,wd0.01",6,"lr=1e-04, wd=0.01",-1.3163,11
[8],5,"lr0.003,wd0.01",5,"lr=1e-04, wd=0.0",-1.2851,12
[8],10,"lr1e-05,wd0.0",7,"lr=3e-04, wd=0.0",-1.8946,1
[8],10,"lr1e-05,wd0.0",9,"lr=0.001, wd=0.0",-1.88,2
[8],10,"lr1e-05,wd0.0",8,"lr=3e-04, wd=0.01",-1.7872,3
[8],10,"lr1e-05,wd0.0",5,"lr=1e-04, wd=0.0",-1.7866,4
[8],10,"lr1e-05,wd0.0",6,"lr=1e-04, wd=0.01",-1.7648,5
[8],10,"lr1e-05,wd0.0",11,"lr=0.003, wd=0.0",-1.6623,6
[8],10,"lr1e-05,wd0.0",3,"lr=3e-05, wd=0.0",-1.6328,7
[8],10,"lr1e-05,wd0.0",4,"lr=3e-05, wd=0.01",-1.6,8
[8],10,"lr1e-05,wd0.0",12,"lr=0.003, wd=0.01",-1.4789,9
[8],10,"lr1e-05,wd0.0",1,"lr=1e-05, wd=0.0",-1.4566,10
[8],10,"lr1e-05,wd0.0",10,"lr=0.001, wd=0.01",-1.4547,11
[8],10,"lr1e-05,wd0.0",2,"lr=1e-05, wd=0.01",-1.4215,12
[8],10,"lr1e-05,wd0.01",7,"lr=3e-04, wd=0.0",-2.0914,1
[8],10,"lr1e-05,wd0.01",9,"lr=0.001, wd=0.0",-2.0782,2
[8],10,"lr1e-05,wd0.01",8,"lr=3e-04, wd=0.01",-1.9955,3
[8],10,"lr1e-05,wd0.01",5,"lr=1e-04, wd=0.0",-1.9753,4
[8],10,"lr1e-05,wd0.01",6,"lr=1e-04, wd=0.01",-1.9617,5
