scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],0,"lr0.003,wd0.01",2,"lr=1e-05, wd=0.01",177695766406.3192,12
[8],5,"lr1e-05,wd0.0",12,"lr=0.003, wd=0.01",813858395.873,1
[8],5,"lr1e-05,wd0.0",10,"lr=0.001, wd=0.01",1556143119.9235,2
[8],5,"lr1e-05,wd0.0",11,"lr=0.003, wd=0.0",4620093900.2035,3
[8],5,"lr1e-05,wd0.0",7,"lr=3e-04, wd=0.0",10467737734.0026,4
[8],5,"lr1e-05,wd0.0",9,"lr=0.001, wd=0.0",10906281071.4233,5
[8],5,"lr1e-05,wd0.0",3,"lr=3e-05, wd=0.0",10957751911.6341,6
[8],5,"lr1e-05,wd0.0",4,"lr=3e-05, wd=0.01",10998959966.9792,7
[8],5,"lr1e-05,wd0.0",5,"lr=1e-04, wd=0.0",11724695756.1069,8
[8],5,"lr1e-05,wd0.0",2,"lr=1e-05, wd=0.01",11760149199.8685,9
[8],5,"lr1e-05,wd0.0",8,"lr=3e-04, wd=0.01",11836874512.3689,10
[8],5,"lr1e-05,wd0.0",1,"lr=1e-05, wd=0.0",11897595404.0662,11
[8],5,"lr1e-05,wd0.0",6,"lr=1e-04, wd=0.01",13037118979.1666,12
[8],5,"lr1e-05,wd0.01",10,"lr=0.001, wd=0.01",28205587.6706,1
[8],5,"lr1e-05,wd0.01",12,"lr=0.003, wd=0.01",45695558.6731,2
[8],5,"lr1e-05,wd0.01",11,"lr=0.003, wd=0.0",904347432.7034,3
[8],5,"lr1e-05,wd0.01",9,"lr=0.001, wd=0.0",4965371616.525,4
[8],5,"lr1e-05,wd0.01",7,"lr=3e-04, wd=0.0",5261992544.6269,5
[8],5,"lr1e-05,wd0.01",4,"lr=3e-05, wd=0.01",5749959747.3748,6
[8],5,"lr1e-05,wd0.01",3,"lr=3e-05, wd=0.0",5848298286.633,7
[8],5,"lr1e-05,wd0.01",2,"lr=1e-05, wd=0.01",6027649871.3773,8
[8],5,"lr1e-05,wd0.01",1,"lr=1e-05, wd=0.0",6063606101.3208,9
[8],5,"lr1e-05,wd0.01",5,"lr=1e-04, wd=0.0",6300579450.887,10
[8],5,"lr1e-05,wd0.01",8,"lr=3e-04, wd=0.01",6576547869.4562,11
[8],5,"lr1e-05,wd0.01",6,"lr=1e-04, wd=0.01",7773599968.3793,12
[8],5,"lr3e-05,wd0.0",2,"lr=1e-05, wd=0.01",481164034.3961,1
