policy,obs_frac,t_target,query_target_N,n_configs,spearman_rho,kendall_tau,spearman_p,kendall_p
bracket_nearest,0.05,0.7,77124608,24,0.8043478260869565,0.6014492753623188,2.1716927777771932e-06,1.2986666549894791e-05
bracket_nearest,0.05,0.7,134561280,27,0.9157509157509156,0.7321937321937323,2.150835266191025e-11,1.9854363020229763e-09
bracket_nearest,0.05,0.7,287183360,35,0.8252100840336134,0.6336134453781512,1.0724329095997086e-09,8.605946286240538e-08
bracket_nearest,0.05,0.8,77124608,24,0.806086956521739,0.608695652173913,1.985720949689886e-06,9.73421202242679e-06
bracket_nearest,0.05,0.8,134561280,27,0.8791208791208791,0.6866096866096868,1.5987855715204865e-09,3.569884931294455e-08
bracket_nearest,0.05,0.8,287183360,35,0.8053221288515406,0.6168067226890757,5.417565686600287e-09,1.8689054299005254e-07
bracket_nearest,0.05,0.9,77124608,24,0.8278260869565216,0.6449275362318841,5.981436834004455e-07,2.0950549744611917e-06
bracket_nearest,0.05,0.9,134561280,27,0.8644688644688645,0.680911680911681,6.151996422460433e-09,4.971543807736273e-08
bracket_nearest,0.05,0.9,287183360,35,0.7540616246498599,0.5563025210084034,1.6919344048834004e-07,2.593041861684119e-06
bracket_nearest,0.05,1.0,77124608,24,0.8478260869565216,0.6666666666666667,1.6969519414972864e-07,7.672118269836502e-07
bracket_nearest,0.05,1.0,134561280,27,0.8400488400488401,0.6410256410256411,4.246663422058405e-08,4.3036010335771297e-07
bracket_nearest,0.05,1.0,287183360,35,0.7333333333333334,0.5495798319327732,5.420262500163914e-07,3.4194561521414225e-06
bracket_nearest,0.1,0.2,77124608,24,0.9347826086956521,0.8043478260869565,2.3091809796273415e-11,1.7556002419973754e-10
bracket_nearest,0.1,0.2,134561280,27,0.9597069597069596,0.8404558404558405,2.709475294950316e-15,1.8992172603122356e-13
bracket_nearest,0.1,0.2,287183360,35,0.961064425770308,0.8521008403361344,5.2778272810489285e-20,6.015692174825869e-13
bracket_nearest,0.1,0.3,77124608,24,0.9356521739130433,0.782608695652174,2.0003834100038692e-11,8.895809693173601e-10
bracket_nearest,0.1,0.3,134561280,27,0.9548229548229549,0.8290598290598292,1.1027462346338171e-14,6.25571460678075e-13
bracket_nearest,0.1,0.3,287183360,35,0.9551820728291317,0.8218487394957983,5.148327768938336e-19,3.7980234419938614e-12
bracket_nearest,0.1,0.4,77124608,24,0.8999999999999999,0.7101449275362319,2.1561959170501433e-09,8.278088874909019e-08
bracket_nearest,0.1,0.4,134561280,27,0.9554334554334554,0.8347578347578348,9.333715596522363e-15,3.475527285878393e-13
bracket_nearest,0.1,0.4,287183360,35,0.9512605042016807,0.8151260504201681,1.9954353881811343e-18,5.670380006915891e-12
bracket_nearest,0.1,0.5,77124608,24,0.877391304347826,0.6884057971014493,1.8204279591228982e-08,2.619805784361419e-07
bracket_nearest,0.1,0.5,134561280,27,0.9578754578754578,0.8290598290598292,4.676139479952181e-15,6.25571460678075e-13
bracket_nearest,0.1,0.5,287183360,35,0.9240896358543418,0.7714285714285715,2.4336940438402143e-15,7.103414675348589e-11
bracket_nearest,0.1,0.6,77124608,24,0.88,0.6884057971014493,1.4551552142122551e-08,2.619805784361419e-07
bracket_nearest,0.1,0.6,134561280,27,0.9529914529914528,0.8176638176638178,1.7942858783709966e-14,1.9346383725519378e-12
bracket_nearest,0.1,0.6,287183360,35,0.9131652661064426,0.7512605042016806,2.0595035627726305e-14,2.1807520988983647e-10
bracket_nearest,0.1,0.7,77124608,24,0.8791304347826084,0.6956521739130435,1.568835871188163e-08,1.800588368372513e-07
bracket_nearest,0.1,0.7,134561280,27,0.9426129426129425,0.794871794871795,2.0525830414256532e-13,1.5660728353731353e-11
bracket_nearest,0.1,0.7,287183360,35,0.8857142857142857,0.704201680672269,1.55228299497e-12,2.6748791369040653e-09
bracket_nearest,0.1,0.8,77124608,24,0.8817391304347826,0.7028985507246377,1.2497252917320805e-08,1.2265451832839693e-07
bracket_nearest,0.1,0.8,134561280,27,0.9218559218559219,0.7549857549857552,8.687111652984501e-12,3.8984522955425615e-10
bracket_nearest,0.1,0.8,287183360,35,0.8680672268907562,0.680672268907563,1.4476468442728063e-11,8.841323591712908e-09
bracket_nearest,0.1,0.9,77124608,24,0.9026086956521738,0.7391304347826086,1.6324184374509252e-09,1.5539029608017707e-08
bracket_nearest,0.1,0.9,134561280,27,0.9206349206349206,0.7549857549857552,1.04741658568902e-11,3.8984522955425615e-10
bracket_nearest,0.1,0.9,287183360,35,0.8364145658263307,0.6470588235294117,3.9272832059626597e-10,4.5629507146046444e-08
bracket_nearest,0.1,1.0,77124608,24,0.9304347826086956,0.7753623188405797,4.6011084183702904e-11,1.481533833685504e-09
bracket_nearest,0.1,1.0,134561280,27,0.92002442002442,0.7606837606837609,1.1488319855425096e-11,2.538603029779096e-10
bracket_nearest,0.1,1.0,287183360,35,0.8184873949579832,0.6302521008403361,1.8951316620158514e-09,1.0065521335096143e-07
bracket_nearest,0.2,0.3,77124608,24,0.9608695652173912,0.8623188405797101,9.46751007259196e-14,9.867360806954296e-13
bracket_nearest,0.2,0.3,134561280,27,0.967032967032967,0.851851851851852,2.294678535286323e-16,5.37720951425131e-14
