policy,obs_frac,t_target,query_target_N,n_configs,regret,normalized_regret,oracle_loss,selected_loss,top1_overlap,top1_hit_rate,top1_best_in_pred,top3_overlap,top3_hit_rate,top3_best_in_pred,top5_overlap,top5_hit_rate,top5_best_in_pred
all_lower_only,0.1,1.0,610488320,8,0.02389383316040039,0.20294603658042673,1.6192057132720947,1.6430995464324951,0,0.0,0,2,0.6666666666666666,0,4,0.8,1
all_lower_only,0.2,0.3,77124608,24,0.003979844445767267,0.01778769296784129,2.061852360227834,2.065832204673601,0,0.0,0,3,1.0,1,4,0.8,1
all_lower_only,0.2,0.3,134561280,27,0.0071724283695220326,0.022011093143567806,1.918067497688791,1.925239926058313,0,0.0,0,2,0.6666666666666666,1,5,1.0,1
all_lower_only,0.2,0.3,287183360,35,0.00933426380157476,0.041312479136964654,1.7527006153231082,1.762034879124683,0,0.0,0,2,0.6666666666666666,0,5,1.0,1
all_lower_only,0.2,0.3,610488320,8,0.014733158505481292,0.06715245656168146,1.8156102368313334,1.8303433953368147,0,0.0,0,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.2,0.4,77124608,24,0.0,0.0,2.036208664127018,2.036208664127018,1,1.0,1,3,1.0,1,4,0.8,1
all_lower_only,0.2,0.4,134561280,27,0.004155031701792877,0.013935358954322359,1.9002963506657145,1.9044513823675073,0,0.0,0,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.2,0.4,287183360,35,0.010507490510525797,0.0489510089923157,1.7278004993148472,1.738307989825373,0,0.0,0,1,0.3333333333333333,0,4,0.8,1
all_lower_only,0.2,0.4,610488320,8,0.017698025724162125,0.10900090638847232,1.7756687966015028,1.793366822325665,0,0.0,0,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.2,0.5,77124608,24,0.0,0.0,2.0169719080717665,2.0169719080717665,1,1.0,1,3,1.0,1,4,0.8,1
all_lower_only,0.2,0.5,134561280,27,0.0,0.0,1.8854584382927937,1.8854584382927937,1,1.0,1,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.2,0.5,287183360,35,0.012044902407604807,0.05943789669896055,1.7078543041685352,1.71989920657614,0,0.0,0,1,0.3333333333333333,0,3,0.6,1
all_lower_only,0.2,0.5,610488320,8,0.02173243062392527,0.137451998880166,1.7426619313281515,1.7643943619520768,0,0.0,0,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.2,0.6,77124608,24,0.0,0.0,2.0005139566504435,2.0005139566504435,1,1.0,1,3,1.0,1,3,0.6,1
all_lower_only,0.2,0.6,134561280,27,0.0,0.0,1.8712962215361388,1.8712962215361388,1,1.0,1,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.2,0.6,287183360,35,0.012821251226508013,0.06496128843381986,1.6918271078234135,1.7046483590499215,0,0.0,0,1,0.3333333333333333,0,3,0.6,1
all_lower_only,0.2,0.6,610488320,8,0.05709798488409623,0.3030245619560236,1.6846248105712558,1.741722795455352,0,0.0,0,1,0.3333333333333333,0,3,0.6,0
all_lower_only,0.2,0.7,77124608,24,0.0,0.0,1.9884876050327136,1.9884876050327136,1,1.0,1,2,0.6666666666666666,1,4,0.8,1
all_lower_only,0.2,0.7,134561280,27,0.00019634443780658373,0.00080923848354849,1.8591603194112363,1.8593566638490429,0,0.0,0,2,0.6666666666666666,0,5,1.0,1
all_lower_only,0.2,0.7,287183360,35,0.014300454554350583,0.07414939180533858,1.6781197503131369,1.6924202048674875,0,0.0,0,1,0.3333333333333333,0,3,0.6,1
all_lower_only,0.2,0.7,610488320,8,0.034898977424787425,0.21786077070149976,1.6889800547309544,1.7238790321557418,0,0.0,0,1,0.3333333333333333,0,3,0.6,0
all_lower_only,0.2,0.8,77124608,24,0.0,0.0,1.978469957559005,1.978469957559005,1,1.0,1,2,0.6666666666666666,1,4,0.8,1
