policy,obs_frac,t_target,query_target_N_a,query_target_N_b,scale_gap,n_shared_configs,pred_pairwise_rho,pred_pairwise_tau,true_pairwise_rho,true_pairwise_tau
all_lower_only,0.2,1.0,134561280,610488320,4.536879554058939,7,0.07142857142857144,0.04761904761904762,0.9285714285714288,0.8095238095238096
all_lower_only,0.2,1.0,287183360,610488320,2.1257788752105973,7,-0.5357142857142858,-0.4285714285714286,0.9285714285714288,0.8095238095238096
all_lower_only,0.5,0.6,77124608,134561280,1.7447256263526163,9,0.9666666666666667,0.8888888888888888,1.0,1.0
all_lower_only,0.5,0.6,77124608,287183360,3.7236281317630815,15,0.7892857142857141,0.5238095238095238,0.7642857142857141,0.580952380952381
all_lower_only,0.5,0.6,77124608,610488320,7.915610021641861,7,-0.03571428571428572,0.14285714285714288,0.4642857142857144,0.5238095238095238
all_lower_only,0.5,0.6,134561280,287183360,2.1342198885147345,9,0.9833333333333333,0.9444444444444445,0.9833333333333333,0.9444444444444445
all_lower_only,0.5,0.6,134561280,610488320,4.536879554058939,7,0.14285714285714288,0.23809523809523814,0.4642857142857144,0.5238095238095238
all_lower_only,0.5,0.6,287183360,610488320,2.1257788752105973,7,0.10714285714285716,0.14285714285714288,0.42857142857142866,0.4285714285714286
all_lower_only,0.5,0.7,77124608,134561280,1.7447256263526163,9,0.9500000000000001,0.8333333333333334,0.9833333333333333,0.9444444444444445
all_lower_only,0.5,0.7,77124608,287183360,3.7236281317630815,15,0.8107142857142855,0.5238095238095238,0.7678571428571428,0.6000000000000001
all_lower_only,0.5,0.7,77124608,610488320,7.915610021641861,7,-0.07142857142857144,0.04761904761904762,0.42857142857142866,0.4285714285714286
all_lower_only,0.5,0.7,134561280,287183360,2.1342198885147345,9,0.9666666666666667,0.8888888888888888,0.9833333333333333,0.9444444444444445
all_lower_only,0.5,0.7,134561280,610488320,4.536879554058939,7,0.14285714285714288,0.23809523809523814,0.4642857142857144,0.5238095238095238
all_lower_only,0.5,0.7,287183360,610488320,2.1257788752105973,7,0.07142857142857144,0.04761904761904762,0.42857142857142866,0.4285714285714286
all_lower_only,0.5,0.8,77124608,134561280,1.7447256263526163,9,0.9500000000000001,0.8333333333333334,0.9833333333333333,0.9444444444444445
all_lower_only,0.5,0.8,77124608,287183360,3.7236281317630815,15,0.807142857142857,0.5238095238095238,0.7678571428571428,0.6000000000000001
all_lower_only,0.5,0.8,77124608,610488320,7.915610021641861,7,-0.07142857142857144,0.04761904761904762,0.42857142857142866,0.4285714285714286
all_lower_only,0.5,0.8,134561280,287183360,2.1342198885147345,9,0.9500000000000001,0.8333333333333334,0.9833333333333333,0.9444444444444445
all_lower_only,0.5,0.8,134561280,610488320,4.536879554058939,7,0.14285714285714288,0.23809523809523814,0.4642857142857144,0.5238095238095238
all_lower_only,0.5,0.8,287183360,610488320,2.1257788752105973,7,0.07142857142857144,0.04761904761904762,0.42857142857142866,0.4285714285714286
all_lower_only,0.5,0.9,77124608,134561280,1.7447256263526163,9,0.9500000000000001,0.8333333333333334,1.0,1.0
all_lower_only,0.5,0.9,77124608,287183360,3.7236281317630815,15,0.807142857142857,0.5238095238095238,0.7607142857142856,0.6000000000000001
all_lower_only,0.5,0.9,77124608,610488320,7.915610021641861,7,-0.07142857142857144,0.04761904761904762,0.9642857142857145,0.9047619047619049
all_lower_only,0.5,0.9,134561280,287183360,2.1342198885147345,9,0.9500000000000001,0.8333333333333334,1.0,1.0
all_lower_only,0.5,0.9,134561280,610488320,4.536879554058939,7,0.14285714285714288,0.23809523809523814,0.9642857142857145,0.9047619047619049
all_lower_only,0.5,0.9,287183360,610488320,2.1257788752105973,7,0.07142857142857144,0.04761904761904762,0.9642857142857145,0.9047619047619049
all_lower_only,0.5,1.0,77124608,134561280,1.7447256263526163,9,0.9666666666666667,0.8888888888888888,1.0,1.0
all_lower_only,0.5,1.0,77124608,287183360,3.7236281317630815,15,0.8142857142857142,0.5428571428571429,0.7785714285714285,0.6000000000000001
all_lower_only,0.5,1.0,77124608,610488320,7.915610021641861,7,-0.03571428571428572,0.14285714285714288,0.9285714285714288,0.8095238095238096
all_lower_only,0.5,1.0,134561280,287183360,2.1342198885147345,9,0.9500000000000001,0.8333333333333334,0.9500000000000001,0.8888888888888888
all_lower_only,0.5,1.0,134561280,610488320,4.536879554058939,7,0.14285714285714288,0.23809523809523814,0.9285714285714288,0.8095238095238096
all_lower_only,0.5,1.0,287183360,610488320,2.1257788752105973,7,0.07142857142857144,0.04761904761904762,0.9285714285714288,0.8095238095238096
bracket_nearest,0.05,0.1,77124608,134561280,1.7447256263526163,9,0.8499999999999999,0.7222222222222222,0.9833333333333333,0.9444444444444445
bracket_nearest,0.05,0.1,77124608,287183360,3.7236281317630815,15,-0.12142857142857141,-0.06666666666666668,0.1357142857142857,0.10476190476190476
bracket_nearest,0.05,0.1,134561280,287183360,2.1342198885147345,9,0.3666666666666667,0.2222222222222222,0.7,0.5555555555555556
bracket_nearest,0.05,0.2,77124608,134561280,1.7447256263526163,9,0.9500000000000001,0.8333333333333334,0.9833333333333333,0.9444444444444445
bracket_nearest,0.05,0.2,77124608,287183360,3.7236281317630815,15,0.09285714285714285,0.06666666666666668,0.6321428571428571,0.4285714285714286
bracket_nearest,0.05,0.2,134561280,287183360,2.1342198885147345,9,0.6,0.4444444444444444,0.8833333333333333,0.7222222222222222
bracket_nearest,0.05,0.3,77124608,134561280,1.7447256263526163,9,0.9500000000000001,0.8333333333333334,0.9833333333333333,0.9444444444444445
