policy,trajectory_id,obs_frac,query_target_N,base_N,shrink,tkpm,mae,rmse,coverage_90,final_abs_error
bracket_nearest,65,0.5,77124608,32270848,0.2,30.0,0.022775611940659753,0.029003231697286046,1.0,0.06549002189118314
bracket_nearest,66,0.05,77124608,32270848,0.4,30.0,0.013000220610256042,0.018307391314745035,1.0,0.057185917586570545
bracket_nearest,66,0.1,77124608,32270848,0.4,30.0,0.03334824696638628,0.03657570558935961,1.0,0.07737073645967607
bracket_nearest,66,0.2,77124608,32270848,0.4,30.0,0.036481446655744244,0.03913668999420663,1.0,0.07915877684012806
bracket_nearest,66,0.5,77124608,32270848,0.4,30.0,0.026764066850401735,0.03139192695662266,1.0,0.0659529508266199
bracket_nearest,67,0.05,77124608,32270848,0.6,30.0,0.024461160687747688,0.030838738360454372,1.0,0.080293977588898
bracket_nearest,67,0.1,77124608,32270848,0.6,30.0,0.04629595671052408,0.05046959727115897,1.0,0.10123043037632673
bracket_nearest,67,0.2,77124608,32270848,0.6,30.0,0.043876809926775,0.04803681328862923,1.0,0.09818126963909579
bracket_nearest,67,0.5,77124608,32270848,0.6,30.0,0.027880768366055526,0.03307536634018365,1.0,0.06965620987626786
bracket_nearest,68,0.05,77124608,32270848,0.8,30.0,0.01799196256786554,0.018705459396402564,1.0,0.029137144379944413
bracket_nearest,68,0.1,77124608,32270848,0.8,30.0,0.0163017931268053,0.020913965913820148,1.0,0.05657748373888749
bracket_nearest,68,0.2,77124608,32270848,0.8,30.0,0.023568416574760144,0.026697357157841474,1.0,0.061196360015928875
bracket_nearest,68,0.5,77124608,32270848,0.8,30.0,0.017602017446522636,0.02219476011083007,1.0,0.04938866181912216
bracket_nearest,69,0.05,77124608,32270848,1.0,30.0,0.022283727439501817,0.023830828713302336,1.0,0.04330678896890894
bracket_nearest,69,0.1,77124608,32270848,1.0,30.0,0.009820147954356562,0.017395857105546596,1.0,0.056288419426534286
bracket_nearest,69,0.2,77124608,32270848,1.0,30.0,0.0160128580440206,0.022991812157376165,1.0,0.06494621039695914
bracket_nearest,69,0.5,77124608,32270848,1.0,30.0,0.02170203927453427,0.027859888878759054,1.0,0.06286766420027279
bracket_nearest,70,0.05,134561280,32270848,0.2,10.0,0.02584798010303283,0.04166855707687395,1.0,0.04865634169695854
bracket_nearest,70,0.1,134561280,32270848,0.2,10.0,0.021810347885227784,0.02367106051481751,1.0,0.03509825543043843
bracket_nearest,70,0.2,134561280,32270848,0.2,10.0,0.01777247063372665,0.01917876202104309,1.0,0.035747352828074286
bracket_nearest,70,0.5,134561280,32270848,0.2,10.0,0.02995944106280271,0.034725275486300757,1.0,0.06796585488018336
