variant_group,t_group,context,obs_folder,mean_relerr
t134_withbase,t134,32270848,20,4.940740740740741
t134_withbase,t134,32270848,50,2.988888888888889
t134_withbase,t134,32270848,90,0.8481481481481481
t134_withbase,t134,77124608,0,5.514814814814815
t134_withbase,t134,77124608,20,4.814814814814815
t134_withbase,t134,77124608,50,2.725925925925926
t134_withbase,t134,77124608,90,1.114814814814815
t287,t287,32270848,0,71.63428571428571
t287,t287,32270848,20,6.1085714285714285
t287,t287,32270848,50,4.331428571428571
t287,t287,32270848,90,0.84
t287,t287,77124608,0,36.21142857142858
t287,t287,77124608,20,6.065714285714286
t287,t287,77124608,50,4.1971428571428575
t287,t287,77124608,90,0.7971428571428572
t287,t287,134561280,0,17.497142857142858
t287,t287,134561280,20,6.2057142857142855
t287,t287,134561280,50,4.174285714285714
t287,t287,134561280,90,0.7942857142857143
t287_changedorder,t287,32270848,0,81.38571428571429
t287_changedorder,t287,32270848,20,6.185714285714286
t287_changedorder,t287,32270848,50,4.4314285714285715
t287_changedorder,t287,32270848,90,1.1285714285714286
t287_changedorder,t287,77124608,0,48.85142857142857
t287_changedorder,t287,77124608,20,6.3742857142857146
t287_changedorder,t287,77124608,50,4.362857142857142
t287_changedorder,t287,77124608,90,1.2057142857142857
t287_changedorder,t287,134561280,0,24.134285714285717
t287_changedorder,t287,134561280,20,6.3428571428571425
t287_changedorder,t287,134561280,50,4.337142857142857
t287_changedorder,t287,134561280,90,1.1257142857142857
t287_changedorder2,t287,32270848,0,65.11999999999999
t287_changedorder2,t287,32270848,20,6.594285714285714
t287_changedorder2,t287,32270848,50,4.5771428571428565
t287_changedorder2,t287,32270848,90,1.2142857142857142
t287_changedorder2,t287,77124608,0,30.93142857142857
t287_changedorder2,t287,77124608,20,6.317142857142857
t287_changedorder2,t287,77124608,50,4.314285714285714
t287_changedorder2,t287,77124608,90,1.0942857142857143
t287_changedorder2,t287,134561280,0,18.58
t287_changedorder2,t287,134561280,20,6.637142857142858
t287_changedorder2,t287,134561280,50,4.3028571428571425
t287_changedorder2,t287,134561280,90,1.0514285714285714
t287_hpas0,t287,32270848,0,30.759999999999998
t287_hpas0,t287,32270848,20,28.942857142857143
t287_hpas0,t287,32270848,50,22.67142857142857
t287_hpas0,t287,32270848,90,17.531428571428574
t287_hpas0,t287,77124608,0,16.81714285714286
t287_hpas0,t287,77124608,20,16.691428571428574
t287_hpas0,t287,77124608,50,16.46
t287_hpas0,t287,77124608,90,14.362857142857143
t287_hpas0,t287,134561280,0,11.322857142857144
t287_hpas0,t287,134561280,20,11.425714285714285
t287_hpas0,t287,134561280,50,11.602857142857143
t287_hpas0,t287,134561280,90,11.057142857142857
t287_ohneemb,t287,32270848,0,30.74857142857143
t287_ohneemb,t287,32270848,20,33.291428571428575
t287_ohneemb,t287,32270848,50,25.714285714285715
t287_ohneemb,t287,32270848,90,16.62
t287_ohneemb,t287,77124608,0,16.957142857142856
t287_ohneemb,t287,77124608,20,19.92
t287_ohneemb,t287,77124608,50,17.942857142857143
t287_ohneemb,t287,77124608,90,14.497142857142856
