tokens,flops,Train Loss,Validation Loss,tkpm,base_N,target_N,shrink,max_lr,n_embd,n_head,method,shrinking,post_hoc_df,g_width,g_N
50397184,9758159186952192.0,2.4411349296569824,2.7690987586975098,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
51052544,9885053324623872.0,2.875398635864258,2.760963201522827,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
51707904,1.0011947462295552e+16,2.6554853916168213,2.754934310913086,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
52363264,1.0138841599967232e+16,2.649303436279297,2.7486777305603027,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
53018624,1.0265735737638912e+16,2.5209155082702637,2.744072914123535,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
53673984,1.0392629875310592e+16,2.669217109680176,2.735797882080078,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
54329344,1.0519524012982272e+16,2.452338218688965,2.7295517921447754,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
54984704,1.0646418150653952e+16,2.6249380111694336,2.724544048309326,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
55640064,1.0773312288325632e+16,2.715883255004883,2.7179012298583984,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
56295424,1.0900206425997312e+16,2.568967342376709,2.7131481170654297,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
56950784,1.1027100563668992e+16,2.616488218307495,2.7057414054870605,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
57606144,1.1153994701340672e+16,2.7493162155151367,2.700204372406006,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
58261504,1.1280888839012352e+16,2.5309274196624756,2.698432445526123,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
