scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],5,"lr1e-05,wd0.01",8,"lr=3e-04, wd=0.01",-2.2216,4
[8],5,"lr1e-05,wd0.01",6,"lr=1e-04, wd=0.01",-2.1988,5
[8],5,"lr1e-05,wd0.01",3,"lr=3e-05, wd=0.0",-2.0584,6
[8],5,"lr1e-05,wd0.01",4,"lr=3e-05, wd=0.01",-2.0473,7
[8],5,"lr1e-05,wd0.01",11,"lr=0.003, wd=0.0",-1.958,8
[8],5,"lr1e-05,wd0.01",10,"lr=0.001, wd=0.01",-1.9297,9
[8],5,"lr1e-05,wd0.01",1,"lr=1e-05, wd=0.0",-1.7809,10
[8],5,"lr1e-05,wd0.01",12,"lr=0.003, wd=0.01",-1.7783,11
[8],5,"lr1e-05,wd0.01",2,"lr=1e-05, wd=0.01",-1.7656,12
[8],5,"lr3e-05,wd0.0",7,"lr=3e-04, wd=0.0",-1.9654,1
[8],5,"lr3e-05,wd0.0",9,"lr=0.001, wd=0.0",-1.9572,2
[8],5,"lr3e-05,wd0.0",5,"lr=1e-04, wd=0.0",-1.8975,3
[8],5,"lr3e-05,wd0.0",10,"lr=0.001, wd=0.01",-1.8837,4
[8],5,"lr3e-05,wd0.0",3,"lr=3e-05, wd=0.0",-1.8422,5
[8],5,"lr3e-05,wd0.0",12,"lr=0.003, wd=0.01",-1.8371,6
[8],5,"lr3e-05,wd0.0",8,"lr=3e-04, wd=0.01",-1.8338,7
[8],5,"lr3e-05,wd0.0",6,"lr=1e-04, wd=0.01",-1.8294,8
[8],5,"lr3e-05,wd0.0",11,"lr=0.003, wd=0.0",-1.8132,9
[8],5,"lr3e-05,wd0.0",4,"lr=3e-05, wd=0.01",-1.8069,10
[8],5,"lr3e-05,wd0.0",1,"lr=1e-05, wd=0.0",-1.718,11
[8],5,"lr3e-05,wd0.0",2,"lr=1e-05, wd=0.01",-1.7107,12
[8],5,"lr3e-05,wd0.01",9,"lr=0.001, wd=0.0",-2.1883,1
[8],5,"lr3e-05,wd0.01",7,"lr=3e-04, wd=0.0",-2.147,2
[8],5,"lr3e-05,wd0.01",5,"lr=1e-04, wd=0.0",-2.0358,3
[8],5,"lr3e-05,wd0.01",10,"lr=0.001, wd=0.01",-2.0037,4
[8],5,"lr3e-05,wd0.01",8,"lr=3e-04, wd=0.01",-2.0029,5
[8],5,"lr3e-05,wd0.01",6,"lr=1e-04, wd=0.01",-1.9815,6
[8],5,"lr3e-05,wd0.01",11,"lr=0.003, wd=0.0",-1.9724,7
[8],5,"lr3e-05,wd0.01",12,"lr=0.003, wd=0.01",-1.9441,8
[8],5,"lr3e-05,wd0.01",3,"lr=3e-05, wd=0.0",-1.9352,9
[8],5,"lr3e-05,wd0.01",4,"lr=3e-05, wd=0.01",-1.9103,10
[8],5,"lr3e-05,wd0.01",1,"lr=1e-05, wd=0.0",-1.7815,11
[8],5,"lr3e-05,wd0.01",2,"lr=1e-05, wd=0.01",-1.7725,12
[8],5,"lr0.0001,wd0.0",11,"lr=0.003, wd=0.0",-2.0448,1
[8],5,"lr0.0001,wd0.0",9,"lr=0.001, wd=0.0",-2.0191,2
[8],5,"lr0.0001,wd0.0",12,"lr=0.003, wd=0.01",-1.9757,3
[8],5,"lr0.0001,wd0.0",10,"lr=0.001, wd=0.01",-1.9604,4
[8],5,"lr0.0001,wd0.0",7,"lr=3e-04, wd=0.0",-1.9391,5
[8],5,"lr0.0001,wd0.0",8,"lr=3e-04, wd=0.01",-1.8086,6
[8],5,"lr0.0001,wd0.0",5,"lr=1e-04, wd=0.0",-1.7698,7
[8],5,"lr0.0001,wd0.0",6,"lr=1e-04, wd=0.01",-1.7212,8
[8],5,"lr0.0001,wd0.0",3,"lr=3e-05, wd=0.0",-1.6998,9
